"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Canada","2016A000011124","Canadian undergraduate","Current dollars","75","units","0","v96320852","1.1","7152","","","","0"
"2023/2024","Canada","2016A000011124","Canadian graduate","Current dollars","75","units","0","v96320853","1.2","7542","","","","0"
"2023/2024","Canada","2016A000011124","International undergraduate","Current dollars","75","units","0","v96320854","1.3","38251","","","","0"
"2023/2024","Canada","2016A000011124","International graduate","Current dollars","75","units","0","v96320855","1.4","22114","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Current dollars","75","units","0","v96320856","2.1","3593","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Canadian graduate","Current dollars","75","units","0","v96320857","2.2","3435","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","International undergraduate","Current dollars","75","units","0","v96320858","2.3","17515","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","International graduate","Current dollars","75","units","0","v96320859","2.4","4833","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Canadian undergraduate","Current dollars","75","units","0","v96320860","3.1","7359","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Canadian graduate","Current dollars","75","units","0","v96320861","3.2","5750","","","","0"
"2023/2024","Prince Edward Island","2016A000211","International undergraduate","Current dollars","75","units","0","v96320862","3.3","19128","","","","0"
"2023/2024","Prince Edward Island","2016A000211","International graduate","Current dollars","75","units","0","v96320863","3.4","11513","","","","0"
"2023/2024","Nova Scotia","2016A000212","Canadian undergraduate","Current dollars","75","units","0","v96320864","4.1","9551","","","","0"
"2023/2024","Nova Scotia","2016A000212","Canadian graduate","Current dollars","75","units","0","v96320865","4.2","10479","","","","0"
"2023/2024","Nova Scotia","2016A000212","International undergraduate","Current dollars","75","units","0","v96320866","4.3","25885","","","","0"
"2023/2024","Nova Scotia","2016A000212","International graduate","Current dollars","75","units","0","v96320867","4.4","22501","","","","0"
"2023/2024","New Brunswick","2016A000213","Canadian undergraduate","Current dollars","75","units","0","v96320868","5.1","8701","","","","0"
"2023/2024","New Brunswick","2016A000213","Canadian graduate","Current dollars","75","units","0","v96320869","5.2","7774","","","","0"
"2023/2024","New Brunswick","2016A000213","International undergraduate","Current dollars","75","units","0","v96320870","5.3","17728","","","","0"
"2023/2024","New Brunswick","2016A000213","International graduate","Current dollars","75","units","0","v96320871","5.4","16398","","","","0"
"2023/2024","Quebec","2016A000224","Canadian undergraduate","Current dollars","75","units","0","v96320872","6.1","3489","","","","0"
"2023/2024","Quebec","2016A000224","Canadian graduate","Current dollars","75","units","0","v96320873","6.2","3760","","","","0"
"2023/2024","Quebec","2016A000224","International undergraduate","Current dollars","75","units","0","v96320874","6.3","32319","","","","0"
"2023/2024","Quebec","2016A000224","International graduate","Current dollars","75","units","0","v96320875","6.4","21115","","","","0"
"2023/2024","Ontario","2016A000235","Canadian undergraduate","Current dollars","75","units","0","v96320876","7.1","8271","","","","0"
"2023/2024","Ontario","2016A000235","Canadian graduate","Current dollars","75","units","0","v96320877","7.2","9522","","","","0"
"2023/2024","Ontario","2016A000235","International undergraduate","Current dollars","75","units","0","v96320878","7.3","46297","","","","0"
"2023/2024","Ontario","2016A000235","International graduate","Current dollars","75","units","0","v96320879","7.4","27010","","","","0"
"2023/2024","Manitoba","2016A000246","Canadian undergraduate","Current dollars","75","units","0","v96320880","8.1","5390","","","","0"
"2023/2024","Manitoba","2016A000246","Canadian graduate","Current dollars","75","units","0","v96320881","8.2","5775","","","","0"
"2023/2024","Manitoba","2016A000246","International undergraduate","Current dollars","75","units","0","v96320882","8.3","18928","","","","0"
"2023/2024","Manitoba","2016A000246","International graduate","Current dollars","75","units","0","v96320883","8.4","12730","","","","0"
"2023/2024","Saskatchewan","2016A000247","Canadian undergraduate","Current dollars","75","units","0","v96320884","9.1","9240","","","","0"
"2023/2024","Saskatchewan","2016A000247","Canadian graduate","Current dollars","75","units","0","v96320885","9.2","5217","","","","0"
"2023/2024","Saskatchewan","2016A000247","International undergraduate","Current dollars","75","units","0","v96320886","9.3","28090","","","","0"
"2023/2024","Saskatchewan","2016A000247","International graduate","Current dollars","75","units","0","v96320887","9.4","9280","","","","0"
"2023/2024","Alberta","2016A000248","Canadian undergraduate","Current dollars","75","units","0","v96320888","10.1","7561","","","","0"
"2023/2024","Alberta","2016A000248","Canadian graduate","Current dollars","75","units","0","v96320889","10.2","6489","","","","0"
"2023/2024","Alberta","2016A000248","International undergraduate","Current dollars","75","units","0","v96320890","10.3","31498","","","","0"
"2023/2024","Alberta","2016A000248","International graduate","Current dollars","75","units","0","v96320891","10.4","15302","","","","0"
"2023/2024","British Columbia","2016A000259","Canadian undergraduate","Current dollars","75","units","0","v96320892","11.1","6477","","","","0"
"2023/2024","British Columbia","2016A000259","Canadian graduate","Current dollars","75","units","0","v96320893","11.2","10803","","","","0"
"2023/2024","British Columbia","2016A000259","International undergraduate","Current dollars","75","units","0","v96320894","11.3","35469","","","","0"
"2023/2024","British Columbia","2016A000259","International graduate","Current dollars","75","units","0","v96320895","11.4","24139","","","","0"
"2023/2024","Yukon","2016A000260","Canadian undergraduate","Current dollars","75","units","0","v1073542478","12.1","4275","","","","0"
"2023/2024","Yukon","2016A000260","Canadian graduate","Current dollars","75","units","0","v1073542479","12.2","","..","","","0"
"2023/2024","Yukon","2016A000260","International undergraduate","Current dollars","75","units","0","v1073542480","12.3","","..","","","0"
"2023/2024","Yukon","2016A000260","International graduate","Current dollars","75","units","0","v1073542481","12.4","","..","","","0"


